"Espèce de référence";"Nom(s) cité(s) ";"Règne";
"Anaglyptus mysticus (Linnaeus, 1758)";"Anaglyptus mysticus (Linnaeus, 1758)";Animalia;
"Anas acuta Linnaeus, 1758";"Anas acuta";Animalia;
"Anas crecca Linnaeus, 1758";"Anas crecca";Animalia;
"Spatula querquedula (Linnaeus, 1758)";"Anas querquedula";;
"Anastrangalia dubia (Scopoli, 1763)";"Anastrangalia dubia (Scopoli, 1763)";Animalia;
"Anastrangalia sanguinolenta (Linnaeus, 1761)";"Anastrangalia sanguinolenta (Linnaeus, 1760)";Animalia;
"Anastrepta orcadensis (Hook.) Schiffn., 1893";"Anastrepta orcadensis (Hook.) Schiffn.";Plantae;
"Anastrepta orcadensis (Hook.) Schiffn., 1893";"Anastrepta orcadensis (Hook.) Schiffn., 1893";Plantae;
"Anastrophyllum assimile (Mitt.) Steph., 1893";"Anastrophyllum assimile (Mitt.) Steph., 1893";Plantae;
"Anax parthenope (Selys, 1839)";"Anax parthenope";Animalia;
"Anchusa azurea Mill., 1768";"Anchusa italica Retz., 1779";;
"Andreaea alpestris (Thed.) Schimp., 1855";"Andreaea alpestris (Thed.) Schimp.";Plantae;
"Andreaea alpestris (Thed.) Schimp., 1855";"Andreaea alpestris (Thed.) Schimp., 1855";Plantae;
"Andreaea frigida Huebener, 1834";"Andreaea frigida Huebener";Plantae;
"Andreaea frigida Huebener, 1834";"Andreaea frigida Huebener, 1834";Plantae;
"Andreaea heinemannii Hampe & Müll.Hal., 1846";"Andreaea heinemannii Hampe & Müll.Hal.";Plantae;
"Andreaea heinemannii Hampe & Müll.Hal., 1846";"Andreaea heinemannii Hampe & Müll.Hal., 1846";Plantae;
"Andreaea mutabilis Hook.f. & Wilson, 1844";"Andreaea mutabilis Hook.f. & Wilson";Plantae;
"Andreaea mutabilis Hook.f. & Wilson, 1844";"Andreaea mutabilis Hook.f. & Wilson, 1844";Plantae;
"Andreaea rothii F.Weber & D.Mohr, 1807";"Andreaea rothii F.Weber & D.Mohr, 1807";Plantae;
"Andreaea rothii subsp. falcata (Schimp.) Lindb., 1879";"Andreaea rothii subsp. falcata (Schimp.) Lindb.";Plantae;
"Andreaea rothii subsp. falcata (Schimp.) Lindb., 1879";"Andreaea rothii subsp. falcata (Schimp.) Lindb., 1879";Plantae;
"Andreaea rothii F.Weber & D.Mohr, 1807 subsp. rothii";"Andreaea rothii subsp. rothii F.Weber & D.Mohr";Plantae;
"Andreaea rothii F.Weber & D.Mohr, 1807 subsp. rothii";"Andreaea rothii subsp. rothii F.Weber & D.Mohr, 1807";Plantae;
"Andreaea rupestris Hedw., 1801";"Andreaea rupestris Hedw.";Plantae;
"Andreaea rupestris Hedw., 1801";"Andreaea rupestris Hedw., 1801";Plantae;
"Andromeda polifolia L., 1753";"Andromeda polifolia L., 1753";Plantae;
"Androsace adfinis subsp. brigantiaca (Jord. & Fourr.) Kress, 1981";"Androsace adfinis subsp. brigantiaca (Jord. & Fourr.) Kress, 1981";Plantae;
"Androsace alpina (L.) Lam., 1779";"Androsace alpina (L.) Lam., 1779";Plantae;
"Androsace chaixii Gren., 1853";"Androsace chaixii Gren., 1853";Plantae;
"Androsace elongata L., 1763";"Androsace elongata subsp. breistrofferi (Charpin & Greuter) Molero & P.Monts., 1983";;
"Androsace halleri L., 1753";"Androsace halleri L., 1753";Plantae;
"Androsace helvetica (L.) All., 1785";"Androsace helvetica (L.) All., 1785";Plantae;
"Androsace lactea L., 1753";"Androsace lactea L., 1753";Plantae;
"Androsace maxima L., 1753";"Androsace maxima L., 1753";Plantae;
"Androsace pubescens DC., 1805";"Androsace pubescens DC., 1805";Plantae;
"Androsace septentrionalis L., 1753";"Androsace septentrionalis L., 1753";Plantae;
"Androsace argentea (C.F.Gaertn.) Lapeyr., 1813";"Androsace vandellii (Turra) Chiov., 1919";;
"Androsace villosa L., 1753";"Androsace villosa L., 1753";Plantae;
"Pulsatilla halleri (All.) Willd., 1809";"Anemone halleri All., 1773";;
"Hepatica nobilis Schreb., 1771";"Anemone hepatica L., 1753";;
"Pulsatilla vulgaris Mill., 1768";"Anemone pulsatilla L., 1753";;
"Pulsatilla rubra (Lam.) Delarbre, 1800";"Anemone rubra Lam., 1783";;
"Pulsatilla scherfelii (Ullep.) Skalický, 1985";"Anemone scherfelii Ullep., 1887";;
"Aneura maxima (Schiffn.) Steph., 1899";"Aneura maxima (Schiffn.) Steph., 1899";Plantae;
"Aneura mirabilis (Malmb.) Wickett & Goffinet, 2008";"Aneura mirabilis (Malmb.) Wickett & Goffinett";Plantae;
"Aneura mirabilis (Malmb.) Wickett & Goffinet, 2008";"Aneura mirabilis (Malmb.) Wickett & Goffinett, 2008";Plantae;
"Anguilla anguilla (Linnaeus, 1758)";"Anguilla anguilla";Animalia;
"Anguilla anguilla (Linnaeus, 1758)";"Anguilla anguilla";Animalia;
"Anisorus quercus (Götz, 1783)";"Anisorus quercus (Götz, 1783)";Animalia;
"Anisoxya fuscula (Illiger, 1798)";"Anisoxya fuscula (Illiger, 1798)";Animalia;
"Anobium hederae Ihssen, 1949";"Anobium hederae Ihssen, 1949";Animalia;
"Anobium punctatum (De Geer, 1774)";"Anobium punctatum (De Geer, 1774)";Animalia;
