"Espèce de référence";"Nom(s) cité(s) ";"Règne";
"Anoectangium aestivum (Hedw.) Mitt., 1869";"Anoectangium aestivum (Hedw.) Mitt.";Plantae;
"Anoectangium aestivum (Hedw.) Mitt., 1869";"Anoectangium aestivum (Hedw.) Mitt., 1869";Plantae;
"Anogcodes fulvicollis (Scopoli, 1763)";"Anogcodes fulvicollis (Scopoli, 1763)";Animalia;
"Anogcodes rufiventris (Scopoli, 1763)";"Anogcodes rufiventris (Scopoli, 1763)";Animalia;
"Anogcodes seladonius (Fabricius, 1792)";"Anogcodes seladonius (Fabricius, 1792)";Animalia;
"Anogramma leptophylla (L.) Link, 1841";"Anogramma leptophylla (L.) Link, 1841";Plantae;
"Bryum bavaricum Warnst., 1906";"Anomobryum bavaricum (Warnst.) Holyoak & Köckinger";;
"Anomobryum concinnatum (Spruce) Lindb., 1861";"Anomobryum concinnatum (Spruce) Lindb.";Plantae;
"Anomobryum concinnatum (Spruce) Lindb., 1861";"Anomobryum concinnatum (Spruce) Lindb., 1861";Plantae;
"Anomobryum julaceum (Schrad. ex G.Gaertn., B.Mey. & Scherb.) Schimp., 1860";"Anomobryum julaceum (Schrad. ex G.Gaertn., B.Mey. & Scherb.) Schimp.";Plantae;
"Anomobryum julaceum (Schrad. ex G.Gaertn., B.Mey. & Scherb.) Schimp., 1860";"Anomobryum julaceum (Schrad. ex G.Gaertn., B.Mey. & Scherb.) Schimp., 1860";Plantae;
"Pseudanomodon attenuatus (Hedw.) Ignatov & Fedosov, 2019";"Anomodon attenuatus (Hedw.) Huebener";;
"Anomodon longifolius (Schleich. ex Brid.) Hartm., 1838";"Anomodon longifolius (Schleich. ex Brid.) Hartm.";Plantae;
"Claopodium rostratum (Hedw.) Ignatov, 2006";"Anomodon rostratus (Hedw.) Schimp.";;
"Anomodon rugelii (Müll.Hal.) Keissl., 1900";"Anomodon rugelii (Müll.Hal.) Keissl.";Plantae;
"Anomodon longifolius (Schleich. ex Brid.) Hartm., 1838";"Anomodontella longifolia (Schleich. ex Brid.) Ignatov & Fedosov, 2019";;
"Anomodon rugelii (Müll.Hal.) Keissl., 1900";"Anomodontopsis rugelii (Müll.Hal.) Ignatov & Fedosov, 2019";;
"Anonconotus alpinus (Yersin, 1858)";"Anonconotus alpinus (Yersin, 1858)";Animalia;
"Anonconotus ghilianii Camerano, 1878";"Anonconotus ghilianii Camerano, 1878";Animalia;
"Anoplodera rufipes (Schaller, 1783)";"Anoplodera rufipes (Schaller, 1783)";Animalia;
"Anser albifrons (Scopoli, 1769)";"Anser albifrons";Animalia;
"Anser anser (Linnaeus, 1758)";"Anser anser";Animalia;
"Anser fabalis (Latham, 1787)";"Anser fabalis";Animalia;
"Antaxius pedestris pedestris (Fabricius, 1787)";"Antaxius pedestris pedestris (Fabricius, 1787)";Animalia;
"Antaxius sorrezensis (Marquet, 1877)";"Antaxius sorrezensis (Marquet, 1877)";Animalia;
"Antaxius sorrezensis (Marquet, 1877)";"Antaxius sorrezensis (Marquet, 1877)";Animalia;
"Anthaxia candens (Panzer, 1792)";"Anthaxia candens (Panzer, 1792)";Animalia;
"Anthaxia chevrieri Gory & Laporte de Castelnau, 1839";"Anthaxia chevrieri Gory & Laporte de Castelnau, 1839";Animalia;
"Anthaxia cichorii (Olivier, 1790)";"Anthaxia cichorii (Olivier, 1790)";Animalia;
"Anthaxia fulgurans (Schrank, 1789)";"Anthaxia fulgurans (Schrank, 1789)";Animalia;
"Anthaxia helvetica Stierlin, 1868";"Anthaxia helvetica Stierlin, 1868";Animalia;
"Anthaxia ignipennis Abeille de Perrin, 1882";"Anthaxia ignipennis Abeille de Perrin, 1882";Animalia;
"Anthaxia istriana Rosenhauer, 1847";"Anthaxia istriana Rosenhauer, 1847";Animalia;
"Anthaxia manca (Linnaeus, 1767)";"Anthaxia manca (Linnaeus, 1767)";Animalia;
"Anthaxia mendizabali Cobos, 1965";"Anthaxia mendizabali Cobos, 1965";Animalia;
"Anthaxia oberthuri Schaefer, 1938";"Anthaxia midas oberthuri Schaefer, 1937";;
"Anthaxia millefolii polychloros Abeille de Perrin, 1894";"Anthaxia millefolii polychloros Abeille de Perrin, 1894";Animalia;
"Anthaxia morio (Fabricius, 1792)";"Anthaxia morio (Fabricius, 1792)";Animalia;
"Anthaxia nigrojubata incognita Bílý, 1974";"Anthaxia nigrojubata incognita Bílý, 1974";Animalia;
"Anthaxia quadripunctata (Linnaeus, 1758)";"Anthaxia quadripunctata (Linnaeus, 1758)";Animalia;
"Anthaxia salicis (Fabricius, 1777)";"Anthaxia salicis (Fabricius, 1777)";Animalia;
"Anthaxia spinolae spinolae Gory & Laporte de Castelnau, 1839";"Anthaxia spinolae spinolae Gory & Laporte de Castelnau, 1839";Animalia;
"Anthaxia suzannae Théry, 1942";"Anthaxia suzannae Théry, 1942";Animalia;
"Anthaxia umbellatarum (Fabricius, 1787)";"Anthaxia umbellatarum (Fabricius, 1787)";Animalia;
"Anthelia julacea (L.) Dumort., 1835";"Anthelia julacea (L.) Dumort., 1835";Plantae;
"Anthelia juratzkana (Limpr.) Trevis., 1877";"Anthelia juratzkana (Limpr.) Trevis.";Plantae;
"Anthelia juratzkana (Limpr.) Trevis., 1877";"Anthelia juratzkana (Limpr.) Trevis., 1877";Plantae;
"Anthemis cotula L., 1753";"Anthemis cotula L., 1753";Plantae;
"Anthemis cretica subsp. gerardiana (Jord.) Greuter, 2005";"Anthemis cretica subsp. gerardiana (Jord.) Greuter, 2005";Plantae;
"Anthemis cretica subsp. saxatilis (DC. ex Willd.) R.Fern., 1975";"Anthemis cretica subsp. saxatilis (DC. ex Willd.) R.Fern., 1975";Plantae;
"Anthericum ramosum L., 1753";"Anthericum ramosum L., 1753";Plantae;
"Anthoceros agrestis Paton, 1979";"Anthoceros agrestis Paton";Plantae;
"Anthoceros agrestis Paton, 1979";"Anthoceros agrestis Paton, 1979";Plantae;
"Anthoceros punctatus L., 1753";"Anthoceros punctatus L.";Plantae;
"Anthoceros punctatus L., 1753";"Anthoceros punctatus L., 1753";Plantae;
"Anthocharis euphenoides Staudinger, 1869";"Anthocharis euphenoides Staudinger, 1869";Animalia;
"Anthoxanthum alpinum Á.Löve & D.Löve, 1948";"Anthoxanthum alpinum Á.Löve & D.Löve, 1948";Plantae;
"Anthoxanthum aristatum Boiss., 1842";"Anthoxanthum aristatum Boiss., 1842";Plantae;
"Anthriscus caucalis M.Bieb., 1808";"Anthriscus caucalis M.Bieb., 1808";Plantae;
"Anthriscus nitida (Wahlenb.) Hazsl., 1864";"Anthriscus nitida (Wahlenb.) Hazsl., 1864";Plantae;
"Anthus campestris (Linnaeus, 1758)";"Anthus campestris";Animalia;
"Anthus pratensis (Linnaeus, 1758)";"Anthus pratensis";Animalia;
"Anthus spinoletta (Linnaeus, 1758)";"Anthus spinoletta";Animalia;
"Anthyllis montana L., 1753";"Anthyllis montana L., 1753";Plantae;
"Antitrichia californica Sull.";"Antitrichia californica Sull.";Plantae;
"Antitrichia californica Sull.";"Antitrichia californica Sull.";Plantae;
"Aongstroemia longipes (Sommerf.) Bruch & Schimp., 1846";"Aongstroemia longipes (Sommerf.) Bruch & Schimp., 1846";Plantae;
"Apatura iris (Linnaeus, 1758)";"Apatura iris (Linnaeus, 1758)";Animalia;
"Apera interrupta (L.) P.Beauv., 1812";"Apera interrupta (L.) P.Beauv., 1812";Plantae;
"Aphantopus hyperantus (Linnaeus, 1758)";"Aphantopus hyperantus (Linnaeus, 1758)";Animalia;
"Aphyllanthes monspeliensis L., 1753";"Aphyllanthes monspeliensis L., 1753";Plantae;
"Apodemus alpicola Heinrich, 1952";"Apodemus alpicola";Animalia;
"Metzgeria pubescens (Schrank) Raddi, 1818";"Apometzgeria pubescens (Schrank) Kuwah.";;
"Aposeris foetida (L.) Less., 1832";"Aposeris foetida (L.) Less., 1832";Plantae;
"Aquila chrysaetos (Linnaeus, 1758)";"Aquila chrysaetos";Animalia;
"Aquila fasciata Vieillot, 1822";"Aquila fasciata";Animalia;
"Aquilegia alpina L., 1753";"Aquilegia alpina L., 1753";Plantae;
"Aquilegia reuteri Boiss., 1854";"Aquilegia reuteri Boiss., 1854";Plantae;
"Arabidopsis cebennensis (DC.) O'Kane & Al-Shehbaz, 1997";"Arabidopsis cebennensis (DC.) O'Kane & Al-Shehbaz";Plantae;
"Arabis allionii DC., 1805";"Arabis allionii DC., 1805";Plantae;
"Arabis bellidifolia subsp. stellulata (Bertol.) Greuter & Burdet, 1983";"Arabis bellidifolia subsp. stellulata (Bertol.) Greuter & Burdet, 1983";Plantae;
"Arabis caerulea (All.) Haenke, 1789";"Arabis caerulea (All.) Haenke, 1789";Plantae;
"Arabis nova Vill., 1779";"Arabis nova Vill., 1779";Plantae;
"Arabis scabra All., 1773";"Arabis scabra All., 1773";Plantae;
"Arabis serpillifolia Vill., 1779";"Arabis serpillifolia Vill., 1779";Plantae;
"Arabis verna (L.) W.T.Aiton, 1812";"Arabis verna (L.) R.Br., 1812";Plantae;
"Arachnocephalus vestitus Costa, 1855";"Arachnocephalus vestitus Costa, 1855";Animalia;
"Araneus circe (Savigny & Audouin, 1826)";"Araneus circe";Animalia;
"Araschnia levana (Linnaeus, 1758)";"Araschnia levana (Linnaeus, 1758)";Animalia;
"Arceuthobium oxycedri (DC.) M.Bieb., 1819";"Arceuthobium oxycedri (DC.) M.Bieb., 1819";Plantae;
"Archidium alternifolium (Hedw.) Mitt., 1851";"Archidium alternifolium (Dicks ex Hedw.) Mitt.";Plantae;
"Archidium alternifolium (Hedw.) Mitt., 1851";"Archidium alternifolium (Hedw.) Mitt., 1851";Plantae;
"Arctoa fulvella (Dicks.) Bruch & Schimp., 1846";"Arctoa fulvella (Dicks.) Bruch & Schimp.";Plantae;
"Arctoa fulvella (Dicks.) Bruch & Schimp., 1846";"Arctoa fulvella (Dicks.) Bruch & Schimp., 1846";Plantae;
"Arctosa variana C.L. Koch, 1847";"Arctosa variana";Animalia;
"Arctostaphylos alpina (L.) Spreng., 1825";"Arctostaphylos alpinus (L.) Spreng., 1825";Plantae;
"Arcyptera brevipennis vicheti Harz, 1975";"Arcyptera brevipennis vicheti Harz, 1975";Animalia;
"Arcyptera fusca (Pallas, 1773)";"Arcyptera fusca (Pallas, 1773)";Animalia;
"Arcyptera fusca (Pallas, 1773)";"Arcyptera fusca (Pallas, 1773)";Animalia;
"Arcyptera microptera carpentieri Azam, 1907";"Arcyptera microptera carpentieri Azam, 1907";Animalia;
"Arcyptera microptera carpentieri Azam, 1907";"Arcyptera microptera carpentieri Azam, 1907";Animalia;
"Ardea cinerea Linnaeus, 1758";"Ardea cinerea";Animalia;
"Ardea purpurea Linnaeus, 1766";"Ardea purpurea";Animalia;
"Ardeola ralloides (Scopoli, 1769)";"Ardeola ralloides";Animalia;
"Arenaria aggregata (L.) Loisel., 1827 subsp. aggregata";"Arenaria aggregata subsp. aggregata (L.) Loisel., 1827";Plantae;
"Arenaria ciliata L., 1753";"Arenaria ciliata L., 1753";Plantae;
"Arenaria grandiflora L., 1759";"Arenaria grandiflora L., 1759";Plantae;
"Arenaria grandiflora L., 1759 subsp. grandiflora";"Arenaria grandiflora subsp. grandiflora L., 1759";Plantae;
"Arenaria marschlinsii W.D.J.Koch, 1841";"Arenaria marschlinsii W.D.J.Koch, 1841";Plantae;
"Arenaria montana L., 1755 subsp. montana";"Arenaria montana subsp. montana L., 1755";Plantae;
"Arenaria purpurascens Ramond ex DC., 1805";"Arenaria purpurascens Ramond ex DC., 1805";Plantae;
"Arethusana arethusa (Denis & Schiffermüller, 1775)";"Arethusana arethusa (Denis & Schiffermüller, 1775)";Animalia;
"Argentina anserina (L.) Rydb., 1899";"Argentina anserina (L.) Rydb., 1899";Plantae;
"Argyrolobium zanonii (Turra) P.W.Ball, 1968";"Argyrolobium zanonii (Turra) P.W.Ball, 1968";Plantae;
"Argyroneta aquatica (Clerck, 1758)";"Argyroneta aquatica";Animalia;
"Arhopalus ferus (Mulsant, 1839)";"Arhopalus ferus (Mulsant, 1839)";Animalia;
"Arhopalus syriacus (Reitter, 1895)";"Arhopalus syriacus (Reitter, 1895)";Animalia;
"Aristavena setacea (Huds.) F.Albers & Butzin, 1977";"Aristavena setacea (Huds.) F.Albers & Butzin, 1977";Plantae;
"Aristolochia pallida Willd., 1805";"Aristolochia pallida subsp. pallida Willd., 1805";;
"Armeria alpina Willd., 1809";"Armeria alpina Willd., 1809";Plantae;
"Armeria arenaria (Pers.) Schult., 1820";"Armeria arenaria (Pers.) Schult., 1820";Plantae;
"Armeria arenaria subsp. bupleuroides (Godr. & Gren.) Greuter & Burdet, 1989";"Armeria arenaria subsp. bupleuroides (Godr. & Gren.) Greuter & Burdet, 1989";Plantae;
"Arnellia fennica (Gottsche) Lindb., 1889";"Arnellia fennica (Gottsche) Lindb., 1889";Plantae;
"Arnica montana L., 1753";"Arnica montana L., 1753";Plantae;
"Arnoseris minima (L.) Schweigg. & Körte, 1811";"Arnoseris minima (L.) Schweigg. & Körte, 1811";Plantae;
"Artemisia alba Turra, 1764";"Artemisia alba Turra, 1764";Plantae;
"Artemisia atrata Lam., 1783";"Artemisia atrata Lam., 1783";Plantae;
"Artemisia borealis Pall., 1776";"Artemisia borealis Pall., 1776";Plantae;
"Artemisia chamaemelifolia Vill., 1779";"Artemisia chamaemelifolia Vill., 1779";Plantae;
"Arum cylindraceum Gasp., 1844";"Arum cylindraceum Gasp., 1844";Plantae;
"Arvernella microclada Hugonnot & Hedenäs, 2015";"Arvernella microclada Hugonnot & Hedenäs";Plantae;
"Arvernella microclada Hugonnot & Hedenäs, 2015";"Arvernella microclada Hugonnot & Hedenäs, 2015";Plantae;
"Arvicola sapidus Miller, 1908";"Arvicola sapidus";Animalia;
"Asarina procumbens (L.) Mill., 1768";"Asarina procumbens Mill., 1768";Plantae;
"Aschisma carniolicum (F.Weber & D.Mohr) Lindb., 1878";"Aschisma carniolicum (F.Weber & D.Mohr) Lindb.";Plantae;
"Aschisma carniolicum (F.Weber & D.Mohr) Lindb., 1878";"Aschisma carniolicum (F.Weber & D.Mohr) Lindb., 1878";Plantae;
"Asemum striatum (Linnaeus, 1758)";"Asemum striatum (Linnaeus, 1758)";Animalia;
"Asio flammeus (Pontoppidan, 1763)";"Asio flammeus";Animalia;
"Asio otus (Linnaeus, 1758)";"Asio otus";Animalia;
"Asparagus tenuifolius Lam., 1783";"Asparagus tenuifolius Lam., 1783";Plantae;
"Asperugo procumbens L., 1753";"Asperugo procumbens L., 1753";Plantae;
"Asperula arvensis L., 1753";"Asperula arvensis L., 1753";Plantae;
"Asperula taurina L., 1753";"Asperula taurina L., 1753";Plantae;
"Asperula taurina L., 1753 subsp. taurina";"Asperula taurina subsp. taurina L., 1753";Plantae;
"Asperula tinctoria L., 1753";"Asperula tinctoria L., 1753";Plantae;
"Asphodelus macrocarpus Parl., 1857 subsp. macrocarpus";"Asphodelus macrocarpus subsp. macrocarpus Parl., 1857";Plantae;
"Aspidiphorus lareyniei Jacquelin du Val, 1859";"Aspidiphorus lareyniei Jacquelin du Val, 1859";Animalia;
"Aspidiphorus orbiculatus (Gyllenhal, 1808)";"Aspidiphorus orbiculatus (Gyllenhal, 1808)";Animalia;
"Asplenium adiantum-nigrum var. silesiacum (Milde) Milde, 1865";"Asplenium adiantum-nigrum var. silesiacum (Milde) Milde, 1867";;
"Asplenium cuneifolium Viv., 1808";"Asplenium cuneifolium Viv., 1806";Plantae;
"Asplenium lepidum C.Presl, 1836 subsp. lepidum";"Asplenium lepidum subsp. lepidum C.Presl, 1836";Plantae;
"Asplenium obovatum subsp. billotii (F.W.Schultz) O.Bolòs, Vigo, Massales & Ninot, 1990";"Asplenium obovatum subsp. billotii (F.W.Schultz) Kerguélen, 1998";;
"Asplenium obovatum subsp. billotii (F.W.Schultz) O.Bolòs, Vigo, Massales & Ninot, 1990";"Asplenium obovatum subsp. billotii (F.W.Schultz) O.Bolòs, Vigo, Massales & Ninot, 1990";Plantae;
"Asplenium petrarchae (Guérin) DC., 1815 subsp. petrarchae";"Asplenium petrarchae subsp. petrarchae (Guérin) DC., 1815";Plantae;
"Asplenium trichomanes subsp. hastatum (Christ) S.Jess., 1995";"Asplenium trichomanes subsp. hastatum (H.Christ) S.Jess., 1995";Plantae;
"Asplenium trichomanes subsp. inexpectans Lovis, 1964";"Asplenium trichomanes subsp. inexpectans Lovis, 1964";Plantae;
"Asplenium trichomanes subsp. pachyrachis (Christ) Lovis & Reichst., 1980";"Asplenium trichomanes subsp. pachyrachis (H.Christ) Lovis & Reichst., 1980";Plantae;
"Asplenium viride Huds., 1762";"Asplenium viride Huds., 1762";Plantae;
"Asplenium x centovallense D.E.Mey., 1968";"Asplenium x centovallense D.E.Mey., 1968";Plantae;
"Astacus astacus (Linnaeus, 1758)";"Astacus astacus";Animalia;
"Aster amellus L., 1753";"Aster amellus L., 1753";Plantae;
"Astragalus cicer L., 1753";"Astragalus cicer L., 1753";Plantae;
"Astragalus frigidus (L.) A.Gray, 1864";"Astragalus frigidus (L.) A.Gray, 1864";Plantae;
"Astragalus hamosus L., 1753";"Astragalus hamosus L., 1753";Plantae;
"Astragalus hypoglottis L., 1771";"Astragalus hypoglottis L., 1771";Plantae;
"Astragalus incanus L., 1759 subsp. incanus";"Astragalus incanus subsp. incanus L., 1759";Plantae;
"Astragalus leontinus Wulfen, 1781";"Astragalus leontinus Wulfen, 1781";Plantae;
"Astragalus monspessulanus L., 1753";"Astragalus monspessulanus L., 1753";Plantae;
"Astragalus onobrychis L., 1753";"Astragalus onobrychis L., 1753";Plantae;
"Astragalus sempervirens Lam., 1783 subsp. sempervirens";"Astragalus sempervirens subsp. sempervirens Lam., 1783";Plantae;
"Astragalus stella Gouan, 1773";"Astragalus stella Gouan, 1773";Plantae;
"Astragalus vesicarius subsp. pastellianus (Pollini) Arcang., 1882";"Astragalus vesicarius subsp. pastellianus (Pollini) Arcang., 1882";Plantae;
"Astragalus vesicarius L., 1753 subsp. vesicarius";"Astragalus vesicarius subsp. vesicarius L., 1753";Plantae;
"Astrantia minor L., 1753";"Astrantia minor L., 1753";Plantae;
"Athene noctua (Scopoli, 1769)";"Athene noctua";Animalia;
"Atocion armeria (L.) Raf., 1840";"Atocion armeria (L.) Raf., 1840";Plantae;
"Atrichum angustatum (Brid.) Bruch & Schimp., 1844";"Atrichum angustatum (Brid.) Bruch & Schimp., 1844";Plantae;
"Atrichum tenellum (Röhl.) Bruch & Schimp., 1844";"Atrichum tenellum (Röhl.) Bruch & Schimp.";Plantae;
"Atrichum tenellum (Röhl.) Bruch & Schimp., 1844";"Atrichum tenellum (Röhl.) Bruch & Schimp., 1844";Plantae;
"Atropa bella-donna L., 1753";"Atropa belladonna L., 1753";Plantae;
"Attagenus punctatus (Scopoli, 1772)";"Attagenus punctatus (Scopoli, 1772)";Animalia;
"Attagenus trifasciatus (Fabricius, 1787)";"Attagenus trifasciatus (Fabricius, 1787)";Animalia;
"Aulacomnium androgynum (Hedw.) Schwägr., 1827";"Aulacomnium androgynum (Hedw.) Schwägr.";Plantae;
"Aulacomnium androgynum (Hedw.) Schwägr., 1827";"Aulacomnium androgynum (Hedw.) Schwägr., 1827";Plantae;
"Aulacomnium palustre (Hedw.) Schwägr., 1827";"Aulacomnium palustre (Hedw.) Schwägr.";Plantae;
"Aulacomnium palustre (Hedw.) Schwägr., 1827";"Aulacomnium palustre (Hedw.) Schwägr., 1827";Plantae;
"Aulonium ruficorne (Olivier, 1790)";"Aulonium ruficorne (Olivier, 1790)";Animalia;
"Aulonium trisulcum (Fourcroy, 1785)";"Aulonium trisulcum (Geoffroy, 1785)";Animalia;
"Aulonothroscus laticollis (Ribiński, 1897)";"Aulonothroscus laticollis (Ribiński, 1897)";Animalia;
"Austropotamobius pallipes (Lereboullet, 1858)";"Austropotamobius pallipes";Animalia;
"Austropotamobius pallipes (Lereboullet, 1858)";"Austropotamobius pallipes";Animalia;
"Aythya ferina (Linnaeus, 1758)";"Aythya ferina";Animalia;
"Aythya fuligula (Linnaeus, 1758)";"Aythya fuligula";Animalia;
"Aythya marila (Linnaeus, 1761)";"Aythya marila";Animalia;
"Aythya nyroca (Güldenstädt, 1770)";"Aythya nyroca";Animalia;
"Baldellia ranunculoides (L.) Parl., 1854";"Baldellia ranunculoides (L.) Parl., 1854";Plantae;
"Baldellia repens subsp. cavanillesii (Molina Abril, A.Galán, Pizarro & Sard.Rosc.) Talavera, 2008";"Baldellia repens subsp. cavanillesii (Molina Abril, A.Galán, Pizarro & Sard.Rosc.) Talavera, 2008";Plantae;
"Baranowskiella ehnstromi Sörensson, 1997";"Baranowskiella ehnstromi Sörensson, 1997";Animalia;
"Barbastella barbastellus (Schreber, 1774)";"Barbastella barbastellus";Animalia;
"Barbilophozia hatcheri (A.Evans) Loeske, 1907";"Barbilophozia hatcheri (A.Evans) Loeske";Plantae;
"Barbilophozia hatcheri (A.Evans) Loeske, 1907";"Barbilophozia hatcheri (A.Evans) Loeske, 1907";Plantae;
"Barbilophozia lycopodioides (Wallr.) Loeske, 1907";"Barbilophozia lycopodioides (Wallr.) Loeske";Plantae;
"Barbilophozia lycopodioides (Wallr.) Loeske, 1907";"Barbilophozia lycopodioides (Wallr.) Loeske, 1907";Plantae;
"Barbitistes fischeri (Yersin, 1854)";"Barbitistes fischeri (Yersin, 1854)";Animalia;
"Barbitistes obtusus Targioni-Tozzetti, 1881";"Barbitistes obtusus Targioni-Tozzetti, 1882";Animalia;
"Barbitistes serricauda (Fabricius, 1794)";"Barbitistes serricauda (Fabricius, 1794)";Animalia;
"Barbitistes serricauda (Fabricius, 1794)";"Barbitistes serricauda (Fabricius, 1794)";Animalia;
"Barbus meridionalis Risso, 1827";"Barbus meridionalis";Animalia;
"Barbus meridionalis Risso, 1827";"Barbus meridionalis";Animalia;
"Bartramia aprica Müll.Hal.";"Bartramia aprica Müll.Hal.";Plantae;
"Bartramia halleriana Hedw., 1801";"Bartramia halleriana Hedw.";Plantae;
"Bartramia halleriana Hedw., 1801";"Bartramia halleriana Hedw., 1801";Plantae;
"Bartramia aprica Müll.Hal.";"Bartramia rosamrosiae Damayanti, J.Muñoz, J.-P.Frahm & D.Quandt";;
"Bazzania flaccida (Dumort.) Grolle, 1972";"Bazzania flaccida (Dumort.) Grolle, 1972";Plantae;
"Bazzania tricrenata (Wahlenb.) Lindb., 1872";"Bazzania tricrenata (Wahlenb.) Lindb.";Plantae;
"Bazzania tricrenata (Wahlenb.) Lindb., 1872";"Bazzania tricrenata (Wahlenb.) Lindb., 1872";Plantae;
"Bazzania trilobata (L.) Gray, 1821";"Bazzania trilobata (L.) Gray, 1821";Plantae;
"Benibotarus taygetanus (Pic, 1905)";"Benibotarus taygetanus (Pic, 1905)";Animalia;
"Berardia lanuginosa (Lam.) Fiori, 1904";"Berardia lanuginosa (Lam.) Fiori, 1904";Plantae;
"Berula erecta (Huds.) Coville, 1893";"Berula erecta (Huds.) Coville, 1893";Plantae;
"Betonica alopecuros L., 1753";"Betonica alopecuros L., 1753";Plantae;
"Betula nana L., 1753";"Betula nana L., 1753";Plantae;
"Biantheridion undulifolium (Nees) Konstant. & Vilnet, 2010";"Biantheridion undulifolium (Nees) Konstant. & Vilnet";Plantae;
"Biantheridion undulifolium (Nees) Konstant. & Vilnet, 2010";"Biantheridion undulifolium (Nees) Konstant. & Vilnet, 2010";Plantae;
"Bicolorana bicolor (Philippi, 1830)";"Bicolorana bicolor (Philippi, 1830)";Animalia;
"Bidens radiata Thuill., 1799";"Bidens radiata Thuill., 1799";Plantae;
"Bifora radians M.Bieb., 1819";"Bifora radians M.Bieb., 1819";Plantae;
"Biphyllus lunatus (Fabricius, 1787)";"Biphyllus lunatus (Fabricius, 1787)";Animalia;
"Biscutella arvernensis Jord., 1864";"Biscutella arvernensis Jord., 1864";Plantae;
"Biscutella brevicaulis Jord., 1864";"Biscutella brevicaulis Jord., 1864";Plantae;
"Biscutella cichoriifolia Loisel., 1810";"Biscutella cichoriifolia Loisel., 1810";Plantae;
"Biscutella laevigata subsp. varia (Dumort.) Rouy & Foucaud, 1895";"Biscutella laevigata subsp. varia (Dumort.) Rouy & Foucaud, 1895";Plantae;
"Biscutella minor Jord., 1864";"Biscutella minor Jord., 1864";Plantae;
"Bistorta vivipara (L.) Delarbre, 1800";"Bistorta vivipara (L.) Delarbre, 1800";Plantae;
